flight_id,t_us,pressure_pa,altitude_rel_m,temp_c,ax_g,ay_g,az_g,a_norm_g,gx_dps,gy_dps,gz_dps,pitch_deg,roll_deg
5,24193,99965.31,-0.0159,25.66,-0.00037,-0.03031,0.99769,0.99815,0.169,0.483,0.034,0.021,-1.740
5,44764,99967.38,-0.1902,25.67,0.00207,-0.03007,1.00013,1.00059,0.230,0.483,0.034,0.028,-1.735
5,48229,99966.88,-0.1480,25.67,-0.00232,-0.02933,0.99891,0.99935,0.291,0.422,-0.088,0.032,-1.733
5,51412,99966.88,-0.1480,25.67,0.00061,-0.02885,0.99672,0.99713,0.169,0.422,0.095,0.032,-1.731
5,55456,99966.88,-0.1480,25.67,-0.00037,-0.02665,1.00111,1.00146,0.169,0.361,0.034,0.033,-1.726
5,59212,99967.19,-0.1744,25.67,0.00061,-0.02689,0.99769,0.99805,0.230,0.300,-0.027,0.033,-1.722
5,63183,99967.19,-0.1744,25.67,0.00012,-0.02860,1.00038,1.00079,0.108,0.422,0.034,0.034,-1.720
5,69075,99968.00,-0.2431,25.67,-0.00013,-0.02689,0.99769,0.99805,0.047,0.300,0.034,0.035,-1.716
5,72097,99968.00,-0.2431,25.67,0.00061,-0.02811,0.99818,0.99858,0.230,0.361,-0.027,0.034,-1.713
5,75163,99968.00,-0.2431,25.67,0.00036,-0.02860,0.99794,0.99835,0.291,0.361,-0.027,0.034,-1.711
5,81076,99965.94,-0.0687,25.67,0.00061,-0.02836,0.99940,0.99980,0.230,0.361,0.095,0.035,-1.708
5,84092,99965.94,-0.0687,25.67,-0.00037,-0.02909,0.99916,0.99958,0.230,0.361,0.095,0.036,-1.706
5,87376,99965.94,-0.0687,25.67,-0.00208,-0.02958,0.99891,0.99935,0.474,0.483,-0.027,0.039,-1.705
5,91131,99965.94,-0.0687,25.66,0.00036,-0.02665,0.99916,0.99951,0.108,0.422,0.034,0.039,-1.701
5,100079,99965.62,-0.0423,25.66,-0.00208,-0.02714,1.00111,1.00148,0.108,0.422,0.034,0.045,-1.697
5,103094,99965.62,-0.0423,25.66,-0.00159,-0.02738,0.99965,1.00002,0.291,0.422,-0.027,0.047,-1.693
5,123283,99965.31,-0.0159,25.66,-0.00061,-0.02323,0.99965,0.99992,0.230,0.422,0.034,0.055,-1.681
5,126102,99966.00,-0.0740,25.66,-0.00379,-0.02421,0.99745,0.99775,0.169,0.483,-0.027,0.060,-1.675
5,132078,99966.00,-0.0740,25.66,-0.00208,-0.02640,0.99965,1.00000,0.169,0.361,-0.027,0.063,-1.671
5,135094,99966.00,-0.0740,25.66,-0.00037,-0.02592,0.99818,0.99852,0.169,0.422,0.034,0.063,-1.667
5,138099,99965.50,-0.0317,25.66,-0.00184,-0.02494,0.99940,0.99971,0.047,0.422,-0.027,0.065,-1.662
5,144078,99965.50,-0.0317,25.66,-0.00159,-0.02860,0.99891,0.99932,0.047,0.422,0.034,0.068,-1.661
5,147097,99965.50,-0.0317,25.66,-0.00037,-0.03007,0.99940,0.99985,0.108,0.422,0.034,0.069,-1.662
5,150102,99964.31,0.0687,25.66,-0.00135,-0.02836,0.99965,1.00005,0.169,0.361,0.034,0.070,-1.661
5,156296,99964.31,0.0687,25.66,-0.00159,-0.02762,0.99916,0.99954,0.108,0.361,0.095,0.073,-1.659
5,159163,99964.31,0.0687,25.66,-0.00208,-0.03129,0.99818,0.99867,0.169,0.361,0.034,0.075,-1.661
5,162253,99963.62,0.1268,25.66,0.00012,-0.02714,0.99965,1.00001,0.169,0.361,0.034,0.074,-1.658
5,168082,99963.62,0.1268,25.66,0.00012,-0.02738,0.99842,0.99880,0.108,0.361,0.034,0.074,-1.656
5,171095,99963.62,0.1268,25.66,-0.00086,-0.02762,1.00013,1.00052,0.169,0.422,-0.027,0.075,-1.654
5,174102,99961.69,0.2907,25.65,-0.00232,-0.02714,1.00013,1.00050,0.047,0.483,0.034,0.078,-1.652
5,180077,99961.69,0.2907,25.65,-0.00110,-0.02494,1.00013,1.00045,0.169,0.361,-0.088,0.080,-1.646
5,183209,99961.69,0.2907,25.65,-0.00159,-0.02836,1.00209,1.00249,0.230,0.422,-0.088,0.081,-1.645
5,186133,99962.31,0.2378,25.65,-0.00110,-0.02714,0.99867,0.99904,0.169,0.483,-0.027,0.082,-1.643
5,192078,99962.31,0.2378,25.65,0.00012,-0.02836,0.99745,0.99785,0.108,0.483,-0.027,0.083,-1.642
5,195097,99963.81,0.1110,25.65,-0.00086,-0.02885,0.99794,0.99835,0.169,0.422,-0.027,0.084,-1.642
